show_id,type,title,director,cast,country,language,date_added,release_year,imdb_rating,imdb_votes,duration,listed_in,description
s0144,Movie,The Killer 144,David Fincher,,United States, ENGLISH,2021-11-01,2023,6.7,652394,118 min,"Drama, International",A thrillers story featuring memorable characters and unexpected events.
s0145,Movie,Maestro 145,Bradley Cooper,"Actor One, Actor Two, Actor Three",United States,English,2025-04-29,2023,6.5,657100,129 min,Documentaries,"A crime, drama story featuring memorable characters and unexpected events."
s0146,Movie,Society of the Snow 146,J. A. Bayona,"Actor One, Actor Two, Actor Three",Spain,Spanish,2024-06-07,2023,7.8,252716,144 min,"Comedies, Dramas","A sci-fi, fantasy story featuring memorable characters and unexpected events."
s0147,Movie,The Adam Project 147,Shawn Levy,"Main Cast, Supporting Cast",United States,english,2017-11-13,2022,6.7,429561,106 min,Children & Family,A thrillers story featuring memorable characters and unexpected events.
s0148,Movie,Don't Look Up 148,Adam McKay,"Main Cast, Supporting Cast",United States, ENGLISH,2022-04-18,2021,7.2,243920,138 min,"Crime, Drama","A crime, drama story featuring memorable characters and unexpected events."
s0149,Movie,The Power of the Dog 149,Jane Campion,"Main Cast, Supporting Cast",United States,English ,2024-11-28,2021,6.8,721975,126 min,Documentaries,"A crime, drama story featuring memorable characters and unexpected events."
s0150,Movie,Marriage Story 150,Noah Baumbach,"Actor One, Actor Two, Actor Three",United States,Eng,2024-01-14,2019,7.9,446990,137 min,"Action, Thriller","A sci-fi, fantasy story featuring memorable characters and unexpected events."
s0151,TV Show,Stranger Things 151,The Duffer Brothers,"Lead Actor, Lead Actress",United States,english ,2019-07-19,2016,8.7,150345,45 min,"Action, Thriller","A drama, international story featuring memorable characters and unexpected events."
s0152,TV Show,The Crown 152,Peter Morgan,,United States, ENGLISH,2018-11-20,2016,8.6,303830,50 min,Children & Family,"A action, thriller story featuring memorable characters and unexpected events."
s0153,TV Show,Money Heist 153,Álex Pina,,Spain, SPANISH,2022-04-13,2017,8.2,286670,55 min,"Sci-Fi, Fantasy","A sci-fi, fantasy story featuring memorable characters and unexpected events."
s0154,TV Show,Dark 154,"Baran bo Odar, Jantje Friese",,Germany,German ,2022-07-25,2017,8.7,42997,60 min,International Movies,A romantic movies story featuring memorable characters and unexpected events.
s0155,TV Show,Breaking Bad 155,Vince Gilligan,"Main Cast, Supporting Cast",United States, ENGLISH,2023-10-18,2008,9.5,241244,65 min,Thrillers,A thrillers story featuring memorable characters and unexpected events.
s0156,TV Show,Narcos 156,"Carlo Bernard, Chris Brancato","Main Cast, Supporting Cast",Spain, SPANISH,2017-04-04,2015,8.8,801377,25 min,"Comedies, Dramas",A children & family story featuring memorable characters and unexpected events.
s0157,TV Show,Wednesday 157,"Alfred Gough, Miles Millar","Lead Actor, Lead Actress",United States,english ,2022-11-05,2022,8.0,191505,30 min,Thrillers,A international movies story featuring memorable characters and unexpected events.
s0158,TV Show,Bridgerton 158,Chris Van Dusen,,United States,English ,2024-02-23,2020,7.4,366063,35 min,International Movies,A romantic movies story featuring memorable characters and unexpected events.
s0159,TV Show,The Witcher 159,Lauren Schmidt Hissrich,,United States,english ,2020-08-17,2019,8.0,347024,40 min,International Movies,A children & family story featuring memorable characters and unexpected events.
s0160,TV Show,Squid Game 160,Hwang Dong-hyuk,"Main Cast, Supporting Cast",South Korea,Korean ,2020-04-04,2021,8.0,478119,45 min,"Action, Thriller",A romantic movies story featuring memorable characters and unexpected events.
s0161,TV Show,The Queen's Gambit 161,"Scott Frank, Allan Scott",,United States, ENGLISH,2019-11-09,2020,8.5,540793,50 min,"Drama, International","A sci-fi, fantasy story featuring memorable characters and unexpected events."
s0162,TV Show,Peaky Blinders 162,Steven Knight,"Actor One, Actor Two, Actor Three",United States,English ,2022-03-17,2013,8.8,544823,55 min,Romantic Movies,A thrillers story featuring memorable characters and unexpected events.
s0163,TV Show,Black Mirror 163,Charlie Brooker,,United States,English ,2025-07-05,2011,8.7,798107,60 min,"Drama, International",A documentaries story featuring memorable characters and unexpected events.
s0164,TV Show,The Umbrella Academy 164,Steve Blackman,"Lead Actor, Lead Actress",United States,Eng,2020-01-08,2019,7.8,460598,65 min,Children & Family,"A action, thriller story featuring memorable characters and unexpected events."
s0165,TV Show,Lupin 165,George Kay,"Actor One, Actor Two, Actor Three",France,french,2017-05-08,2021,7.5,327045,25 min,"Sci-Fi, Fantasy","A drama, international story featuring memorable characters and unexpected events."
s0166,TV Show,Sacred Games 166,"Vikramaditya Motwane, Anurag Kashyap","Actor One, Actor Two, Actor Three",India,Hindi ,2023-03-22,2018,8.5,120172,30 min,Children & Family,"A action, thriller story featuring memorable characters and unexpected events."
s0167,TV Show,Delhi Crime 167,Richie Mehta,"Lead Actor, Lead Actress",,hindi,2024-04-16,2019,8.5,534790,35 min,"Crime, Drama",A international movies story featuring memorable characters and unexpected events.
s0168,TV Show,Paatal Lok 168,Sudip Sharma,,India,Hindi ,2022-06-09,2020,8.1,579243,40 min,"Comedies, Dramas",A international movies story featuring memorable characters and unexpected events.
s0169,TV Show,Kota Factory 169,Saurabh Khanna,"Actor One, Actor Two, Actor Three",India,Hind,2019-03-01,2019,9.0,74401,45 min,"Crime, Drama",A international movies story featuring memorable characters and unexpected events.
s0170,TV Show,The Family Man 170,"Raj Nidimoru, Krishna D.K.","Main Cast, Supporting Cast",India,Hind,2020-11-02,2019,8.7,297778,50 min,"Crime, Drama",A thrillers story featuring memorable characters and unexpected events.
s0171,Movie,The Irishman 171,Martin Scorsese,,United States,english ,2023-07-13,2019,7.8,157013,209 min,Children & Family,"A sci-fi, fantasy story featuring memorable characters and unexpected events."
s0172,Movie,Extraction 172,Sam Hargrave,"Lead Actor, Lead Actress",United States, ENGLISH,2022-06-16,2020,6.8,579927,116 min,"Sci-Fi, Fantasy",A international movies story featuring memorable characters and unexpected events.
s0173,Movie,Bird Box 173,Susanne Bier,"Actor One, Actor Two, Actor Three",United States, ENGLISH,18-Feb-2022,2018,6.6,732580,124 min,Documentaries,A thrillers story featuring memorable characters and unexpected events.
s0174,Movie,Red Notice 174,Rawson Marshall Thurber,,United States,english,2021-04-27,2021,6.3,46967,118 min,Romantic Movies,A children & family story featuring memorable characters and unexpected events.
s0175,Movie,The Gray Man 175,"Anthony Russo, Joe Russo",,United States,English ,2024-12-07,2022,6.5,697128,122 min,"Comedies, Dramas",A children & family story featuring memorable characters and unexpected events.
s0176,Movie,Enola Holmes 176,Harry Bradbeer,,United States,english,2017-06-10,2020,6.6,620049,123 min,Romantic Movies,"A action, thriller story featuring memorable characters and unexpected events."
s0177,Movie,Glass Onion 177,Rian Johnson,,United States,English,2021-12-18,2022,7.1,480323,139 min,"Drama, International","A comedies, dramas story featuring memorable characters and unexpected events."
s0178,Movie,All Quiet on the Western Front 178,Edward Berger,"Main Cast, Supporting Cast",Germany,german,2021-08-16,2022,7.8,493496,148 min,"Crime, Drama",A romantic movies story featuring memorable characters and unexpected events.
s0179,Movie,Roma 179,Alfonso Cuarón,"Main Cast, Supporting Cast",Spain,Spanish ,2024-01-06,2018,,345725,135 min,"Sci-Fi, Fantasy",A international movies story featuring memorable characters and unexpected events.
s0180,Movie,The Platform 180,Galder Gaztelu-Urrutia,,Spain,Spanish ,2020-07-30,2019,7.0,38842,94 min,Thrillers,"A action, thriller story featuring memorable characters and unexpected events."
s0181,Movie,The Mitchells vs. the Machines 181,"Michael Rianda, Jeff Rowe","Lead Actor, Lead Actress",United States,english ,2019-08-29,2021,7.6,239736,114 min,"Action, Thriller",A international movies story featuring memorable characters and unexpected events.
s0182,Movie,Klaus 182,Sergio Pablos,"Main Cast, Supporting Cast",United States,english ,2018-02-17,2019,8.2,466430,96 min,"Comedies, Dramas","A crime, drama story featuring memorable characters and unexpected events."
s0183,Movie,The Half of It 183,Alice Wu,"Lead Actor, Lead Actress",United States,English,2017-05-08,2020,6.9,836016,104 min,"Drama, International","A crime, drama story featuring memorable characters and unexpected events."
s0184,Movie,Dangal 184,Nitesh Tiwari,,India, HINDI,2021-01-17,2016,8.3,153840,161 min,Documentaries,"A sci-fi, fantasy story featuring memorable characters and unexpected events."
s0185,Movie,Andhadhun 185,Sriram Raghavan,"Actor One, Actor Two, Actor Three",India,Hind,2021-08-24,2018,8.2,179440,139 min,"Comedies, Dramas","A action, thriller story featuring memorable characters and unexpected events."
s0186,Movie,Drishyam 186,Nishikant Kamat,,India,Hindi ,2023-11-11,2015,8.2,717518,163 min,Documentaries,A children & family story featuring memorable characters and unexpected events.
s0187,Movie,RRR 187,S. S. Rajamouli,"Actor One, Actor Two, Actor Three",India,telugu,2023-07-26,2022,7.8,484750,187 min,"Crime, Drama",A children & family story featuring memorable characters and unexpected events.
s0188,Movie,Kantara 188,Rishab Shetty,,India,Kannada,2019-11-21,2022,8.6,302803,148 min,"Sci-Fi, Fantasy","A comedies, dramas story featuring memorable characters and unexpected events."
s0189,Movie,The Lunchbox 189,Ritesh Batra,"Lead Actor, Lead Actress",India,Hindi ,2017-11-08,2013,7.8,617313,104 min,"Crime, Drama",A international movies story featuring memorable characters and unexpected events.
s0190,Movie,3 Idiots 190,Rajkumar Hirani,,India, HINDI,2024-10-07,2009,8.4,317997,170 min,Documentaries,A international movies story featuring memorable characters and unexpected events.
s0191,Movie,Zindagi Na Milegi Dobara 191,Zoya Akhtar,"Actor One, Actor Two, Actor Three",India,Hindi,2022-06-12,2011,8.2,401089,155 min,Thrillers,A romantic movies story featuring memorable characters and unexpected events.
s0192,Movie,Kabhi Khushi Kabhie Gham 192,Karan Johar,"Lead Actor, Lead Actress",India, HINDI,2023-06-22,2001,7.4,24205,210 min,International Movies,"A crime, drama story featuring memorable characters and unexpected events."
s0193,Movie,Jawan 193,Atlee,"Main Cast, Supporting Cast",India,Hind,2017-02-12,2023,6.9,637063,169 min,Children & Family,"A crime, drama story featuring memorable characters and unexpected events."
s0194,Movie,The Killer 194,David Fincher,"Lead Actor, Lead Actress",United States,Eng,2019-08-10,2023,6.7,230842,118 min,Documentaries,A thrillers story featuring memorable characters and unexpected events.
s0195,Movie,Maestro 195,Bradley Cooper,"Actor One, Actor Two, Actor Three",United States,,2019-11-02,2023,6.5,659965,129 min,"Action, Thriller","A drama, international story featuring memorable characters and unexpected events."
s0196,Movie,Society of the Snow 196,J. A. Bayona,"Main Cast, Supporting Cast",Spain,Spanish ,2020-06-28,2023,7.8,608927,144 min,Romantic Movies,"A comedies, dramas story featuring memorable characters and unexpected events."
s0197,Movie,The Adam Project 197,Shawn Levy,"Lead Actor, Lead Actress",United States, ENGLISH,2018-01-14,2022,6.7,784990,106 min,International Movies,"A comedies, dramas story featuring memorable characters and unexpected events."
s0198,Movie,Don't Look Up 198,Adam McKay,,United States,english,2019-04-12,2021,7.2,384829,138 min,"Sci-Fi, Fantasy","A sci-fi, fantasy story featuring memorable characters and unexpected events."
s0199,Movie,The Power of the Dog 199,Jane Campion,"Lead Actor, Lead Actress",United States,english,2020-01-31,2021,6.8,506454,126 min,"Crime, Drama",A romantic movies story featuring memorable characters and unexpected events.
s0200,Movie,Marriage Story 200,Noah Baumbach,"Main Cast, Supporting Cast",United States,English ,2018-04-26,2019,7.9,148794,137 min,Documentaries,A international movies story featuring memorable characters and unexpected events.
s0201,TV Show,Stranger Things 201,The Duffer Brothers,,United States, ENGLISH,2023-04-11,2016,8.7,15794,55 min,"Crime, Drama","A sci-fi, fantasy story featuring memorable characters and unexpected events."
s0202,TV Show,The Crown 202,,"Lead Actor, Lead Actress",United States,English ,2018-05-31,2016,8.6,614155,60 min,International Movies,A romantic movies story featuring memorable characters and unexpected events.
s0203,TV Show,Money Heist 203,Álex Pina,"Main Cast, Supporting Cast",Spain,spanish,2018-03-29,2017,8.2,650841,65 min,"Sci-Fi, Fantasy",A romantic movies story featuring memorable characters and unexpected events.
s0204,TV Show,Dark 204,"Baran bo Odar, Jantje Friese","Main Cast, Supporting Cast",Germany,german,2023-11-13,2017,8.7,667469,25 min,Children & Family,"A crime, drama story featuring memorable characters and unexpected events."
s0205,TV Show,Breaking Bad 205,Vince Gilligan,"Actor One, Actor Two, Actor Three",United States,English ,2024-04-22,2008,9.5,48749,30 min,"Drama, International","A crime, drama story featuring memorable characters and unexpected events."
s0206,TV Show,Narcos 206,"Carlo Bernard, Chris Brancato","Actor One, Actor Two, Actor Three",Spain,Spanish,2022-07-20,2015,8.8,564858,35 min,"Comedies, Dramas",A international movies story featuring memorable characters and unexpected events.
s0207,TV Show,Wednesday 207,"Alfred Gough, Miles Millar",,United States, ENGLISH,2022-02-11,2022,8.0,440686,,Thrillers,"A comedies, dramas story featuring memorable characters and unexpected events."
s0208,TV Show,Bridgerton 208,Chris Van Dusen,,United States,english ,2021-09-05,2020,7.4,646758,40 min,International Movies,"A crime, drama story featuring memorable characters and unexpected events."
s0209,TV Show,The Witcher 209,Lauren Schmidt Hissrich,"Actor One, Actor Two, Actor Three",United States,english ,2017-05-24,2019,8.0,466120,45 min,Children & Family,A documentaries story featuring memorable characters and unexpected events.
s0210,TV Show,Squid Game 210,Hwang Dong-hyuk,"Lead Actor, Lead Actress",South Korea,Korean,2021-02-03,2021,8.0,572113,50 min,Romantic Movies,"A drama, international story featuring memorable characters and unexpected events."
s0211,TV Show,The Queen's Gambit 211,"Scott Frank, Allan Scott","Main Cast, Supporting Cast",United States, ENGLISH,2021-06-28,2020,8.5,478005,55 min,"Action, Thriller",A documentaries story featuring memorable characters and unexpected events.
s0212,TV Show,Peaky Blinders 212,Steven Knight,"Main Cast, Supporting Cast",United States,english ,2024-03-22,2013,8.8,54235,60 min,Romantic Movies,A documentaries story featuring memorable characters and unexpected events.
s0213,TV Show,Black Mirror 213,Charlie Brooker,"Main Cast, Supporting Cast",United States,Eng,2018-06-09,2011,8.7,803525,65 min,"Sci-Fi, Fantasy",A documentaries story featuring memorable characters and unexpected events.
s0214,TV Show,The Umbrella Academy 214,Steve Blackman,"Lead Actor, Lead Actress",United States,english,"August 08, 2023",2019,7.8,813184,25 min,"Comedies, Dramas",A thrillers story featuring memorable characters and unexpected events.
s0215,TV Show,Lupin 215,George Kay,"Actor One, Actor Two, Actor Three",France, FRENCH,2017-01-21,2021,7.5,567656,30 min,"Crime, Drama","A comedies, dramas story featuring memorable characters and unexpected events."
s0216,TV Show,Sacred Games 216,"Vikramaditya Motwane, Anurag Kashyap","Main Cast, Supporting Cast",India,Hindi,05-Apr-2018,2018,8.5,376844,35 min,Documentaries,A thrillers story featuring memorable characters and unexpected events.
s0217,TV Show,Delhi Crime 217,Richie Mehta,"Lead Actor, Lead Actress",India,Hindi,2020-08-28,2019,8.5,56144,40 min,"Comedies, Dramas",A international movies story featuring memorable characters and unexpected events.
s0218,TV Show,Paatal Lok 218,Sudip Sharma,"Main Cast, Supporting Cast",India,Hindi,2022-12-04,2020,8.1,500580,45 min,Children & Family,A romantic movies story featuring memorable characters and unexpected events.
s0219,TV Show,Kota Factory 219,Saurabh Khanna,,India,Hind,2022-10-13,2019,9.0,529513,50 min,Documentaries,A thrillers story featuring memorable characters and unexpected events.
s0220,TV Show,The Family Man 220,"Raj Nidimoru, Krishna D.K.",,India,Hind,2017-07-06,2019,8.7,675791,55 min,"Drama, International","A drama, international story featuring memorable characters and unexpected events."
s0221,Movie,The Irishman 221,Martin Scorsese,,United States,English ,2022-05-25,2019,7.8,720625,209 min,"Action, Thriller",A children & family story featuring memorable characters and unexpected events.
s0222,Movie,Extraction 222,Sam Hargrave,"Main Cast, Supporting Cast",United States,English ,2025-01-05,2020,6.8,85914,116 min,Romantic Movies,A thrillers story featuring memorable characters and unexpected events.
s0223,Movie,Bird Box 223,Susanne Bier,"Actor One, Actor Two, Actor Three",United States,English,2018-09-09,2018,6.6,289575,124 min,Thrillers,A thrillers story featuring memorable characters and unexpected events.
s0224,Movie,Red Notice 224,Rawson Marshall Thurber,"Lead Actor, Lead Actress",United States,english ,2023-03-06,2021,6.3,400607,118 min,Thrillers,"A sci-fi, fantasy story featuring memorable characters and unexpected events."
s0225,Movie,The Gray Man 225,"Anthony Russo, Joe Russo",,United States,English ,2020-05-01,2022,6.5,636036,122 min,International Movies,"A action, thriller story featuring memorable characters and unexpected events."
s0226,Movie,Enola Holmes 226,Harry Bradbeer,,United States,English,2024-11-23,2020,6.6,757055,123 min,Documentaries,A international movies story featuring memorable characters and unexpected events.
s0227,Movie,Glass Onion 227,Rian Johnson,,United States,english,2022-02-02,2022,7.1,356595,139 min,Children & Family,A international movies story featuring memorable characters and unexpected events.
s0228,Movie,All Quiet on the Western Front 228,Edward Berger,"Lead Actor, Lead Actress",Germany,German,2021-09-09,2022,7.8,448694,148 min,Romantic Movies,"A crime, drama story featuring memorable characters and unexpected events."
s0229,Movie,Roma 229,Alfonso Cuarón,,Spain,spanish,2021-03-23,2018,7.7,71594,135 min,"Action, Thriller","A action, thriller story featuring memorable characters and unexpected events."
s0230,Movie,The Platform 230,Galder Gaztelu-Urrutia,"Main Cast, Supporting Cast",Spain,Spanish ,2018-01-26,2019,7.0,781958,94 min,Romantic Movies,"A comedies, dramas story featuring memorable characters and unexpected events."
s0231,Movie,The Mitchells vs. the Machines 231,"Michael Rianda, Jeff Rowe",,United States,English,2023-04-07,2021,7.6,590066,114 min,"Sci-Fi, Fantasy",A romantic movies story featuring memorable characters and unexpected events.
s0232,Movie,Klaus 232,Sergio Pablos,,United States,English,2024-07-16,2019,8.2,371974,96 min,International Movies,"A drama, international story featuring memorable characters and unexpected events."
s0233,Movie,The Half of It 233,Alice Wu,"Lead Actor, Lead Actress",United States,Eng,2020-04-02,2020,6.9,369927,104 min,"Action, Thriller",A thrillers story featuring memorable characters and unexpected events.
s0234,Movie,Dangal 234,Nitesh Tiwari,"Actor One, Actor Two, Actor Three",India,hindi,2022-09-19,2016,8.3,689837,161 min,Children & Family,A documentaries story featuring memorable characters and unexpected events.
s0235,Movie,Andhadhun 235,Sriram Raghavan,,India, HINDI,2018-03-29,2018,8.2,386615,139 min,"Action, Thriller","A crime, drama story featuring memorable characters and unexpected events."
s0236,Movie,Drishyam 236,Nishikant Kamat,,India,hindi,2023-06-19,2015,8.2,589415,163 min,Thrillers,A thrillers story featuring memorable characters and unexpected events.
s0237,Movie,RRR 237,S. S. Rajamouli,,India,Telugu,2024-08-05,2022,7.8,690986,187 min,"Crime, Drama","A drama, international story featuring memorable characters and unexpected events."
s0238,Movie,Kantara 238,Rishab Shetty,,India, KANNADA,2019-01-18,2022,8.6,357531,148 min,Romantic Movies,"A drama, international story featuring memorable characters and unexpected events."
s0239,Movie,The Lunchbox 239,Ritesh Batra,,India,hindi,2019-01-23,2013,7.8,690475,104 min,International Movies,"A action, thriller story featuring memorable characters and unexpected events."
s0240,Movie,3 Idiots 240,Rajkumar Hirani,"Main Cast, Supporting Cast",India,Hindi,2018-08-14,2009,8.4,783554,170 min,"Sci-Fi, Fantasy",A documentaries story featuring memorable characters and unexpected events.
s0241,Movie,Zindagi Na Milegi Dobara 241,Zoya Akhtar,,India,Hindi ,2021-03-30,2011,8.2,358655,155 min,"Comedies, Dramas",A romantic movies story featuring memorable characters and unexpected events.
s0242,Movie,Kabhi Khushi Kabhie Gham 242,Karan Johar,,India, HINDI,2020-07-09,2001,7.4,626385,210 min,"Action, Thriller","A drama, international story featuring memorable characters and unexpected events."
s0243,Movie,Jawan 243,Atlee,,India,hindi,2018-10-09,2023,6.9,53379,169 min,"Action, Thriller","A crime, drama story featuring memorable characters and unexpected events."
s0244,Movie,The Killer 244,David Fincher,,United States,english ,2021-12-29,2023,6.7,510453,118 min,Thrillers,A children & family story featuring memorable characters and unexpected events.
s0245,Movie,Maestro 245,Bradley Cooper,"Actor One, Actor Two, Actor Three",United States, ENGLISH,2021-09-02,2023,6.5,792815,129 min,"Sci-Fi, Fantasy","A action, thriller story featuring memorable characters and unexpected events."
s0246,Movie,Society of the Snow 246,J. A. Bayona,"Main Cast, Supporting Cast",Spain,Spanish ,2020-11-23,2023,7.8,298205,144 min,Thrillers,A children & family story featuring memorable characters and unexpected events.
s0247,Movie,The Adam Project 247,Shawn Levy,"Lead Actor, Lead Actress",United States,english ,2022-12-08,2022,6.7,48823,106 min,Documentaries,A international movies story featuring memorable characters and unexpected events.
s0248,Movie,Don't Look Up 248,Adam McKay,"Main Cast, Supporting Cast",United States,English,2023-09-30,2021,7.2,215553,138 min,"Crime, Drama",A documentaries story featuring memorable characters and unexpected events.
s0249,Movie,The Power of the Dog 249,Jane Campion,"Lead Actor, Lead Actress",United States, ENGLISH,2018-07-26,2021,6.8,345261,126 min,"Action, Thriller","A drama, international story featuring memorable characters and unexpected events."
s0250,Movie,Marriage Story 250,Noah Baumbach,,,english ,2022-08-09,2019,7.9,185429,137 min,"Comedies, Dramas",A international movies story featuring memorable characters and unexpected events.
s0251,TV Show,Stranger Things 251,The Duffer Brothers,,United States,english ,2022-12-31,2016,8.7,587064,60 min,Romantic Movies,"A action, thriller story featuring memorable characters and unexpected events."
s0252,TV Show,The Crown 252,Peter Morgan,,United States,english ,2021-06-24,2016,8.6,20851,65 min,Children & Family,"A action, thriller story featuring memorable characters and unexpected events."
s0253,TV Show,Money Heist 253,Álex Pina,,Spain,Español,2020-07-15,2017,8.2,425268,25 min,International Movies,"A crime, drama story featuring memorable characters and unexpected events."
s0254,TV Show,Dark 254,"Baran bo Odar, Jantje Friese","Lead Actor, Lead Actress",Germany,German ,2018-04-26,2017,8.7,181422,30 min,Thrillers,A children & family story featuring memorable characters and unexpected events.
s0255,TV Show,Breaking Bad 255,Vince Gilligan,,United States, ENGLISH,2024-10-04,2008,9.5,112205,35 min,Documentaries,A international movies story featuring memorable characters and unexpected events.
s0256,TV Show,Narcos 256,"Carlo Bernard, Chris Brancato","Main Cast, Supporting Cast",Spain,Spanish ,2023-08-19,2015,8.8,416191,40 min,"Crime, Drama",A romantic movies story featuring memorable characters and unexpected events.
s0257,TV Show,Wednesday 257,"Alfred Gough, Miles Millar","Main Cast, Supporting Cast",United States, ENGLISH,2019-07-06,2022,8.0,536480,45 min,"Action, Thriller","A sci-fi, fantasy story featuring memorable characters and unexpected events."
s0258,TV Show,Bridgerton 258,Chris Van Dusen,"Lead Actor, Lead Actress",United States,english,2022-09-29,2020,7.4,763912,50 min,"Comedies, Dramas",A documentaries story featuring memorable characters and unexpected events.
s0259,TV Show,The Witcher 259,Lauren Schmidt Hissrich,"Actor One, Actor Two, Actor Three",United States,english,07-Mar-2018,2019,8.0,183126,55 min,Thrillers,"A comedies, dramas story featuring memorable characters and unexpected events."
s0260,TV Show,Squid Game 260,Hwang Dong-hyuk,,South Korea,Korean,2024-05-17,2021,8.0,487690,60 min,Thrillers,A thrillers story featuring memorable characters and unexpected events.
s0261,TV Show,The Queen's Gambit 261,"Scott Frank, Allan Scott",,United States,english ,2022-01-22,2020,8.5,340108,65 min,Romantic Movies,"A comedies, dramas story featuring memorable characters and unexpected events."
s0262,TV Show,Peaky Blinders 262,Steven Knight,,United States,English,2021-12-16,2013,8.8,663255,25 min,"Crime, Drama","A crime, drama story featuring memorable characters and unexpected events."
s0263,TV Show,Black Mirror 263,Charlie Brooker,,United States,English,2023-08-29,2011,8.7,78994,30 min,"Crime, Drama",A children & family story featuring memorable characters and unexpected events.
s0264,TV Show,The Umbrella Academy 264,Steve Blackman,"Lead Actor, Lead Actress",United States,English,2022-02-04,2019,7.8,302222,35 min,"Action, Thriller","A action, thriller story featuring memorable characters and unexpected events."
s0265,TV Show,Lupin 265,George Kay,,France,French ,2023-12-04,2021,7.5,582442,40 min,"Drama, International",A children & family story featuring memorable characters and unexpected events.
s0266,TV Show,Sacred Games 266,"Vikramaditya Motwane, Anurag Kashyap",,India,hindi,2023-06-09,2018,8.5,499933,45 min,"Sci-Fi, Fantasy","A comedies, dramas story featuring memorable characters and unexpected events."
s0267,TV Show,Delhi Crime 267,Richie Mehta,"Lead Actor, Lead Actress",India,Hindi ,2017-09-20,2019,8.5,750214,50 min,"Action, Thriller","A sci-fi, fantasy story featuring memorable characters and unexpected events."
s0268,TV Show,Paatal Lok 268,Sudip Sharma,"Actor One, Actor Two, Actor Three",India,hindi,2024-04-09,2020,,743195,55 min,Children & Family,A children & family story featuring memorable characters and unexpected events.
s0269,TV Show,Kota Factory 269,,"Actor One, Actor Two, Actor Three",India,Hind,2022-11-26,2019,9.0,382774,60 min,Romantic Movies,"A crime, drama story featuring memorable characters and unexpected events."
s0270,TV Show,The Family Man 270,"Raj Nidimoru, Krishna D.K.",,India,Hindi ,2021-05-15,2019,8.7,56109,65 min,Romantic Movies,"A action, thriller story featuring memorable characters and unexpected events."
s0271,Movie,The Irishman 271,Martin Scorsese,,United States,English,2020-09-21,2019,7.8,712532,209 min,International Movies,"A crime, drama story featuring memorable characters and unexpected events."
s0272,Movie,Extraction 272,Sam Hargrave,,United States,english ,2019-11-08,2020,6.8,158877,116 min,Romantic Movies,"A action, thriller story featuring memorable characters and unexpected events."
s0273,Movie,Bird Box 273,Susanne Bier,"Actor One, Actor Two, Actor Three",United States,english ,2023-07-24,2018,6.6,368013,124 min,"Crime, Drama",A international movies story featuring memorable characters and unexpected events.
s0274,Movie,Red Notice 274,Rawson Marshall Thurber,"Main Cast, Supporting Cast",United States,Eng,2018-06-22,2021,6.3,325820,118 min,"Sci-Fi, Fantasy",A international movies story featuring memorable characters and unexpected events.
s0275,Movie,The Gray Man 275,"Anthony Russo, Joe Russo","Actor One, Actor Two, Actor Three",United States, ENGLISH,2024-03-29,2022,6.5,703867,122 min,"Sci-Fi, Fantasy","A action, thriller story featuring memorable characters and unexpected events."
s0276,Movie,Enola Holmes 276,Harry Bradbeer,,United States,english ,2024-04-09,2020,6.6,534388,123 min,Romantic Movies,"A drama, international story featuring memorable characters and unexpected events."
s0277,Movie,Glass Onion 277,Rian Johnson,"Actor One, Actor Two, Actor Three",United States, ENGLISH,2021-02-03,2022,7.1,225797,139 min,Romantic Movies,A children & family story featuring memorable characters and unexpected events.
s0278,Movie,All Quiet on the Western Front 278,Edward Berger,"Actor One, Actor Two, Actor Three",Germany,german,2019-03-07,2022,7.8,163671,148 min,"Action, Thriller","A crime, drama story featuring memorable characters and unexpected events."
s0279,Movie,Roma 279,Alfonso Cuarón,,Spain,Español,2018-02-28,2018,7.7,775724,135 min,"Sci-Fi, Fantasy","A drama, international story featuring memorable characters and unexpected events."
s0280,Movie,The Platform 280,Galder Gaztelu-Urrutia,,Spain, SPANISH,2024-06-13,2019,7.0,138614,94 min,Thrillers,A international movies story featuring memorable characters and unexpected events.
s0281,Movie,The Mitchells vs. the Machines 281,"Michael Rianda, Jeff Rowe","Actor One, Actor Two, Actor Three",United States,english,2018-10-03,2021,7.6,727701,114 min,Thrillers,"A comedies, dramas story featuring memorable characters and unexpected events."
s0282,Movie,Klaus 282,Sergio Pablos,"Main Cast, Supporting Cast",United States,English ,2025-02-10,2019,8.2,432016,96 min,Romantic Movies,A documentaries story featuring memorable characters and unexpected events.
s0283,Movie,The Half of It 283,Alice Wu,"Lead Actor, Lead Actress",United States,Eng,2022-01-03,2020,6.9,790139,104 min,Children & Family,A documentaries story featuring memorable characters and unexpected events.
s0284,Movie,Dangal 284,Nitesh Tiwari,"Lead Actor, Lead Actress",India,hindi,2023-01-06,2016,8.3,849103,161 min,Children & Family,A documentaries story featuring memorable characters and unexpected events.
s0285,Movie,Andhadhun 285,Sriram Raghavan,,India,Hind,"February 24, 2021",2018,8.2,485306,139 min,"Crime, Drama",A international movies story featuring memorable characters and unexpected events.
s0286,Movie,Drishyam 286,Nishikant Kamat,,India,Hind,2022-08-31,2015,8.2,171130,163 min,Documentaries,A thrillers story featuring memorable characters and unexpected events.
s0287,Movie,RRR 287,S. S. Rajamouli,"Main Cast, Supporting Cast",India, TELUGU,2018-07-30,2022,7.8,673524,187 min,Children & Family,A romantic movies story featuring memorable characters and unexpected events.
